Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
4200000.0,Secondary, Красногорская,36.0,Moscow region,1.0,18.3,13.0,2.3,5.0,5,Cosmetic
5250000.0,Secondary, Павшино,6.0,Moscow region,1.0,31.0,18.0,6.0,1.0,4,Cosmetic
5450000.0,Secondary, Красногорская,13.0,Moscow region,1.0,31.0,18.0,6.0,5.0,5,Cosmetic
5700000.0,Secondary, Опалиха,29.0,Moscow region,1.0,45.0,28.0,7.0,1.0,3,Cosmetic
5790000.0,Secondary, Опалиха,7.0,Moscow region,1.0,26.6,16.5,5.0,23.0,26,European-style renovation
5800000.0,Secondary, Павшино,5.0,Moscow region,1.0,32.5,20.0,7.0,7.0,9,Cosmetic
5800000.0,Secondary, Павшино,12.0,Moscow region,1.0,28.3,17.0,6.0,3.0,5,Without renovation
5840000.0,Secondary, Павшино,4.0,Moscow region,1.0,23.0,14.5,3.5,4.0,5,Cosmetic
5800000.0,Secondary, Павшино,10.0,Moscow region,1.0,31.0,18.0,9.2,3.0,5,Cosmetic
6000000.0,Secondary, Павшино,4.0,Moscow region,1.0,23.0,14.5,3.5,4.0,5,Cosmetic
6100000.0,Secondary, Опалиха,7.0,Moscow region,1.0,30.5,14.0,9.5,13.0,25,European-style renovation
6100000.0,Secondary, Опалиха,6.0,Moscow region,1.0,39.0,10.0,9.9,7.0,18,Cosmetic
6100000.0,Secondary, Опалиха,6.0,Moscow region,1.0,39.0,9.0,9.9,5.0,18,Cosmetic
6100000.0,Secondary, Опалиха,19.0,Moscow region,1.0,32.0,18.3,9.3,1.0,7,Cosmetic
6200000.0,Secondary, Красногорская,7.0,Moscow region,1.0,32.0,17.0,6.0,4.0,5,European-style renovation
6300000.0,Secondary, Павшино,7.0,Moscow region,1.0,30.0,10.9,8.3,25.0,25,Cosmetic
6300000.0,Secondary, Пенягино,8.0,Moscow region,1.0,19.5,12.0,8.3,2.0,22,Designer
6499000.0,Secondary, Красногорская,6.0,Moscow region,1.0,34.7,19.0,10.0,11.0,16,Without renovation
6500000.0,Secondary, Тушинская,17.0,Moscow region,1.0,31.8,13.7,10.0,19.0,25,Cosmetic
6550000.0,Secondary, Опалиха,16.0,Moscow region,1.0,34.0,15.0,11.0,4.0,12,Cosmetic
6650000.0,Secondary, Опалиха,16.0,Moscow region,1.0,34.0,15.0,11.0,6.0,12,Cosmetic
6750000.0,Secondary, Опалиха,19.0,Moscow region,1.0,34.0,18.0,6.0,1.0,6,European-style renovation
6800000.0,Secondary, Опалиха,7.0,Moscow region,1.0,35.5,14.9,11.5,12.0,25,Cosmetic
6800000.0,Secondary, Опалиха,16.0,Moscow region,1.0,40.8,17.0,14.9,2.0,8,Without renovation
6800000.0,Secondary, Опалиха,15.0,Moscow region,1.0,35.5,16.0,11.5,2.0,12,Without renovation
6890000.0,Secondary, Тушинская,16.0,Moscow region,1.0,35.4,17.0,8.4,4.0,14,European-style renovation
6800000.0,Secondary, Опалиха,5.0,Moscow region,1.0,37.9,18.0,9.0,9.0,18,Cosmetic
6800000.0,Secondary, Павшино,14.0,Moscow region,1.0,35.1,17.7,8.0,5.0,9,Cosmetic
6990000.0,Secondary, Красногорская,18.0,Moscow region,1.0,29.0,15.2,5.0,5.0,5,European-style renovation
7000000.0,Secondary, Красногорская,8.0,Moscow region,1.0,37.0,14.5,10.1,15.0,24,Cosmetic
7000000.0,Secondary, Опалиха,6.0,Moscow region,1.0,32.6,13.8,8.7,3.0,9,European-style renovation
7000000.0,Secondary, Павшино,20.0,Moscow region,1.0,46.0,20.0,8.0,11.0,25,Without renovation
7000000.0,Secondary, Красногорская,39.0,Moscow region,1.0,38.0,19.0,9.0,9.0,14,Cosmetic
7100000.0,Secondary, Опалиха,5.0,Moscow region,1.0,39.6,17.6,8.2,2.0,18,European-style renovation
7200000.0,Secondary, Тушинская,17.0,Moscow region,1.0,40.0,22.4,9.9,4.0,25,Cosmetic
7200000.0,Secondary, Опалиха,7.0,Moscow region,1.0,35.6,14.0,11.4,7.0,24,European-style renovation
7200000.0,Secondary, Опалиха,6.0,Moscow region,1.0,40.0,15.7,8.2,2.0,11,European-style renovation
7200000.0,Secondary, Красногорская,15.0,Moscow region,1.0,32.0,19.0,6.0,3.0,5,Cosmetic
7200000.0,Secondary, Опалиха,6.0,Moscow region,1.0,38.0,19.0,8.0,7.0,17,Cosmetic
7200000.0,Secondary, Красногорская,8.0,Moscow region,1.0,39.5,10.0,9.9,2.0,18,Cosmetic
7290000.0,Secondary, Опалиха,6.0,Moscow region,1.0,38.4,16.8,10.4,14.0,26,European-style renovation
7300000.0,Secondary, Опалиха,5.0,Moscow region,1.0,39.3,13.2,13.2,22.0,25,European-style renovation
7300000.0,Secondary, Павшино,7.0,Moscow region,1.0,39.3,19.5,9.4,3.0,14,Cosmetic
7400000.0,Secondary, Опалиха,6.0,Moscow region,1.0,39.5,12.7,15.1,22.0,25,Cosmetic
7400000.0,Secondary, Красногорская,6.0,Moscow region,1.0,34.0,15.0,8.0,9.0,9,European-style renovation
7499000.0,Secondary, Опалиха,4.0,Moscow region,1.0,32.0,15.0,10.0,2.0,8,Without renovation
7450000.0,Secondary, Опалиха,10.0,Moscow region,1.0,32.2,15.0,9.1,9.0,12,European-style renovation
7500000.0,Secondary, Павшино,12.0,Moscow region,1.0,32.0,17.0,10.0,7.0,21,European-style renovation
7500000.0,Secondary, Митино,12.0,Moscow region,1.0,57.0,20.6,12.0,1.0,10,Cosmetic
7500000.0,Secondary, Опалиха,6.0,Moscow region,1.0,37.4,15.2,11.1,5.0,25,Without renovation
7500000.0,Secondary, Опалиха,6.0,Moscow region,1.0,34.0,14.0,10.0,20.0,27,Cosmetic
7500000.0,Secondary, Красногорская,4.0,Moscow region,1.0,34.6,20.0,7.0,12.0,12,European-style renovation
7590000.0,Secondary, Опалиха,6.0,Moscow region,1.0,35.5,19.0,9.0,8.0,25,European-style renovation
7600000.0,Secondary, Красногорская,6.0,Moscow region,1.0,39.0,17.0,9.0,3.0,18,Cosmetic
7720000.0,Secondary, Опалиха,5.0,Moscow region,1.0,46.8,22.3,7.7,1.0,10,Cosmetic
7700000.0,Secondary, Опалиха,7.0,Moscow region,1.0,38.8,14.1,13.3,24.0,25,Cosmetic
7650000.0,Secondary, Опалиха,6.0,Moscow region,1.0,38.1,18.0,10.0,20.0,26,European-style renovation
7750000.0,Secondary, Опалиха,7.0,Moscow region,1.0,34.6,17.0,10.0,25.0,26,European-style renovation
7800000.0,Secondary, Павшино,4.0,Moscow region,1.0,39.4,10.0,9.9,12.0,12,Cosmetic
7800000.0,Secondary, Красногорская,6.0,Moscow region,1.0,40.4,16.3,11.1,1.0,17,Cosmetic
7800000.0,Secondary, Аникеевка,6.0,Moscow region,1.0,39.5,16.6,12.0,20.0,26,Cosmetic
7750000.0,Secondary, Красногорская,38.0,Moscow region,1.0,41.1,20.0,10.0,8.0,14,Cosmetic
7800000.0,Secondary, Опалиха,6.0,Moscow region,1.0,37.0,15.2,9.1,24.0,26,Designer
7950000.0,Secondary, Павшино,11.0,Moscow region,1.0,33.4,17.0,9.4,2.0,8,European-style renovation
7900000.0,Secondary, Павшино,7.0,Moscow region,1.0,36.0,20.0,8.0,3.0,4,European-style renovation
7900000.0,Secondary, Опалиха,16.0,Moscow region,1.0,34.1,16.3,9.0,1.0,8,European-style renovation
7900000.0,Secondary, Красногорская,43.0,Moscow region,1.0,37.6,21.1,9.8,4.0,24,Cosmetic
7999000.0,Secondary, Опалиха,12.0,Moscow region,1.0,33.7,19.2,9.4,10.0,12,European-style renovation
8000000.0,Secondary, Красногорская,20.0,Moscow region,1.0,40.0,11.0,19.0,5.0,9,European-style renovation
8000000.0,Secondary, Опалиха,19.0,Moscow region,1.0,33.0,8.0,9.4,6.0,10,European-style renovation
8000000.0,Secondary, Опалиха,14.0,Moscow region,1.0,33.5,16.2,9.0,1.0,8,European-style renovation
8100000.0,Secondary, Опалиха,4.0,Moscow region,1.0,38.4,21.5,9.8,2.0,8,Without renovation
8199000.0,Secondary, Красногорская,8.0,Moscow region,1.0,47.8,23.4,11.6,2.0,7,Designer
8200000.0,Secondary, Опалиха,6.0,Moscow region,1.0,47.2,22.0,12.0,19.0,26,Cosmetic
8200000.0,Secondary, Митино,7.0,Moscow region,1.0,35.3,15.0,8.3,5.0,17,European-style renovation
8150000.0,Secondary, Павшино,12.0,Moscow region,1.0,30.0,17.3,9.1,10.0,21,Designer
8290000.0,Secondary, Опалиха,6.0,Moscow region,1.0,38.6,16.7,9.3,18.0,25,European-style renovation
8290000.0,Secondary, Строгино,8.0,Moscow region,1.0,34.1,14.1,11.2,21.0,34,Designer
8300000.0,Secondary, Опалиха,7.0,Moscow region,1.0,34.2,20.0,12.0,4.0,26,European-style renovation
8490000.0,Secondary, Пенягино,14.0,Moscow region,1.0,31.9,15.0,10.0,11.0,44,European-style renovation
8400000.0,Secondary, Опалиха,6.0,Moscow region,1.0,43.5,11.5,10.2,3.0,8,Without renovation
8500000.0,Secondary, Павшино,6.0,Moscow region,1.0,44.0,11.0,20.0,17.0,17,Cosmetic
8500000.0,Secondary, Опалиха,6.0,Moscow region,1.0,36.4,10.0,9.7,3.0,25,Designer
8500000.0,Secondary, Митино,12.0,Moscow region,1.0,39.2,14.0,10.4,14.0,25,European-style renovation
8600000.0,Secondary, Опалиха,6.0,Moscow region,1.0,48.5,17.7,13.5,15.0,17,European-style renovation
8600000.0,Secondary, Красногорская,10.0,Moscow region,1.0,44.0,17.5,10.0,5.0,14,European-style renovation
8700000.0,Secondary, Опалиха,5.0,Moscow region,1.0,47.6,20.0,11.5,18.0,25,European-style renovation
8700000.0,Secondary, Павшино,8.0,Moscow region,1.0,41.6,19.0,18.0,20.0,23,Cosmetic
8700000.0,Secondary, Павшино,5.0,Moscow region,1.0,37.9,21.3,9.8,1.0,12,Cosmetic
8700000.0,Secondary, Красногорская,6.0,Moscow region,1.0,43.0,22.0,11.0,2.0,14,Cosmetic
8690000.0,Secondary, Мякинино,16.0,Moscow region,1.0,36.3,20.0,8.0,4.0,19,Without renovation
8875000.0,Secondary, Красногорская,7.0,Moscow region,1.0,48.0,18.0,13.0,10.0,17,European-style renovation
8990000.0,Secondary, Красногорская,30.0,Moscow region,1.0,46.0,18.0,13.0,15.0,16,Cosmetic
8999999.0,Secondary, Павшино,8.0,Moscow region,1.0,42.9,16.0,13.0,1.0,24,Designer
8950000.0,Secondary, Аникеевка,6.0,Moscow region,1.0,45.0,19.0,13.0,8.0,24,European-style renovation
8900000.0,Secondary, Пенягино,10.0,Moscow region,1.0,39.0,20.0,10.0,16.0,25,European-style renovation
8900000.0,Secondary, Мякинино,24.0,Moscow region,1.0,40.5,18.0,12.0,16.0,25,European-style renovation
8950000.0,Secondary, Пенягино,12.0,Moscow region,1.0,39.7,22.2,9.9,10.0,25,Cosmetic
9050000.0,Secondary, Павшино,19.0,Moscow region,1.0,39.9,19.0,8.0,16.0,17,European-style renovation
9000000.0,Secondary, Строгино,8.0,Moscow region,1.0,38.0,20.0,15.0,7.0,33,European-style renovation
9249000.0,Secondary, Павшино,8.0,Moscow region,1.0,40.0,12.0,20.0,10.0,21,European-style renovation
9300000.0,Secondary, Опалиха,6.0,Moscow region,1.0,46.1,17.9,10.4,19.0,24,Designer
9300000.0,Secondary, Опалиха,6.0,Moscow region,1.0,45.8,18.8,12.8,14.0,17,European-style renovation
9316380.0,Secondary, Аникеевка,3.0,Moscow region,1.0,59.34,35.1,14.5,3.0,3,Without renovation
9300000.0,Secondary, Опалиха,15.0,Moscow region,1.0,54.0,26.0,12.0,7.0,10,European-style renovation
9350000.0,Secondary, Аникеевка,6.0,Moscow region,1.0,44.6,17.9,10.4,19.0,24,European-style renovation
9400000.0,Secondary, Пенягино,14.0,Moscow region,1.0,33.0,17.0,6.0,13.0,45,European-style renovation
9500000.0,Secondary, Пенягино,11.0,Moscow region,1.0,42.3,18.0,8.5,3.0,16,Cosmetic
9500000.0,Secondary, Пенягино,14.0,Moscow region,1.0,35.0,9.0,20.0,6.0,8,Cosmetic
9500000.0,Secondary, Пенягино,10.0,Moscow region,1.0,37.7,18.0,8.0,8.0,17,Cosmetic
9500000.0,Secondary, Пенягино,14.0,Moscow region,1.0,35.0,19.8,9.5,6.0,8,European-style renovation
9500000.0,Secondary, Пенягино,9.0,Moscow region,1.0,42.0,19.4,8.7,7.0,19,European-style renovation
9500000.0,Secondary, Опалиха,7.0,Moscow region,1.0,40.0,14.1,13.5,25.0,25,Designer
9499999.0,Secondary, Опалиха,16.0,Moscow region,1.0,34.6,12.0,10.0,5.0,8,Designer
9500000.0,Secondary, Опалиха,7.0,Moscow region,1.0,40.0,14.0,13.5,25.0,25,Cosmetic
9499999.0,Secondary, Аникеевка,17.0,Moscow region,1.0,42.8,24.8,12.7,4.0,6,Designer
9500000.0,Secondary, Пенягино,7.0,Moscow region,1.0,37.8,19.0,6.0,2.0,17,Cosmetic
9600000.0,Secondary, Пенягино,6.0,Moscow region,1.0,38.7,18.9,9.0,6.0,26,European-style renovation
9600000.0,Secondary, Павшино,3.0,Moscow region,1.0,47.0,23.0,12.0,15.0,25,Designer
9550000.0,Secondary, Пенягино,18.0,Moscow region,1.0,34.0,14.0,9.5,3.0,7,European-style renovation
9600000.0,Secondary, Пенягино,7.0,Moscow region,1.0,37.0,19.0,8.0,3.0,17,European-style renovation
9700000.0,Secondary, Пятницкое шоссе,10.0,Moscow region,1.0,45.0,28.0,12.0,6.0,17,Cosmetic
9700000.0,Secondary, Мякинино,16.0,Moscow region,1.0,37.0,17.0,9.3,17.0,19,European-style renovation
9700000.0,Secondary, Пенягино,16.0,Moscow region,1.0,35.0,20.0,6.0,35.0,45,European-style renovation
9700000.0,Secondary, Павшино,20.0,Moscow region,1.0,41.2,14.0,20.0,17.0,25,Designer
9800000.0,Secondary, Мякинино,15.0,Moscow region,1.0,40.2,18.9,13.0,21.0,23,Cosmetic
9800000.0,Secondary, Опалиха,6.0,Moscow region,1.0,46.1,25.4,10.5,9.0,17,European-style renovation
12550000.0,Secondary, Мякинино,20.0,Moscow region,2.0,60.7,40.0,13.0,2.0,7,Cosmetic
7500000.0,Secondary, Павшино,11.0,Moscow region,2.0,42.0,28.0,6.0,5.0,5,Cosmetic
11690000.0,Secondary, Опалиха,17.0,Moscow region,2.0,61.0,31.0,12.0,6.0,8,Without renovation
12700000.0,Secondary, Аникеевка,16.0,Moscow region,2.0,70.1,37.6,12.4,4.0,6,Cosmetic
12650000.0,Secondary, Пенягино,19.0,Moscow region,2.0,46.1,23.7,14.6,4.0,15,Designer
18000000.0,Secondary, Пенягино,18.0,Moscow region,2.0,68.0,35.0,17.0,30.0,44,Designer
12546450.0,Secondary, Пенягино,10.0,Moscow region,2.0,73.5,39.5,13.3,6.0,22,Without renovation
11500000.0,Secondary, Опалиха,6.0,Moscow region,2.0,56.0,22.0,13.0,3.0,24,Designer
9500000.0,Secondary, Митино,17.0,Moscow region,2.0,44.0,26.0,7.0,1.0,8,European-style renovation
10500000.0,Secondary, Митино,11.0,Moscow region,2.0,50.3,25.0,6.0,22.0,25,European-style renovation
11190000.0,Secondary, Митино,14.0,Moscow region,2.0,64.4,30.1,13.6,7.0,9,European-style renovation
11500000.0,Secondary, Пенягино,15.0,Moscow region,2.0,40.0,31.0,6.5,32.0,44,Designer
12500000.0,Secondary, Опалиха,6.0,Moscow region,2.0,60.7,17.0,11.7,7.0,17,European-style renovation
49500000.0,Secondary, Мякинино,14.0,Moscow region,2.0,109.0,59.0,15.0,8.0,8,Designer
51500000.0,Secondary, Мякинино,14.0,Moscow region,2.0,78.6,10.0,13.1,3.0,4,Designer
53000000.0,Secondary, Мякинино,14.0,Moscow region,2.0,79.3,12.0,13.2,3.0,4,Designer
8000000.0,Secondary, Аникеевка,5.0,Moscow region,2.0,35.0,16.0,16.0,3.0,3,Designer
8500000.0,Secondary, Павшино,14.0,Moscow region,2.0,43.5,28.2,6.0,1.0,5,European-style renovation
8800000.0,Secondary, Павшино,5.0,Moscow region,2.0,42.0,28.0,6.0,5.0,5,Cosmetic
9650000.0,Secondary, Опалиха,7.0,Moscow region,2.0,52.0,30.0,9.0,8.0,25,Cosmetic
9800000.0,Secondary, Красногорская,9.0,Moscow region,2.0,66.0,35.9,11.2,10.0,25,European-style renovation
10000000.0,Secondary, Павшино,12.0,Moscow region,2.0,50.0,15.0,30.0,6.0,21,European-style renovation
10300000.0,Secondary, Павшино,18.0,Moscow region,2.0,47.0,25.9,10.5,16.0,18,Designer
10500000.0,Secondary, Красногорская,6.0,Moscow region,2.0,47.2,32.0,9.0,11.0,12,Cosmetic
10700000.0,Secondary, Опалиха,6.0,Moscow region,2.0,52.0,30.0,12.0,10.0,26,Designer
12300000.0,Secondary, Красногорская,7.0,Moscow region,2.0,51.0,26.0,10.0,3.0,17,European-style renovation
13900000.0,Secondary, Пенягино,10.0,Moscow region,2.0,72.0,40.0,12.0,11.0,17,European-style renovation
13990000.0,Secondary, Павшино,3.0,Moscow region,2.0,61.0,32.7,10.0,23.0,25,Designer
16300000.0,Secondary, Опалиха,6.0,Moscow region,2.0,63.6,38.0,13.0,2.0,8,Designer
17500000.0,Secondary, Мякинино,26.0,Moscow region,2.0,91.6,48.7,14.3,15.0,25,European-style renovation
19900000.0,Secondary, Пенягино,13.0,Moscow region,2.0,75.0,50.0,20.0,20.0,25,Designer
22300000.0,Secondary, Мякинино,27.0,Moscow region,2.0,101.2,81.0,15.2,20.0,21,Without renovation
5500000.0,Secondary, Павшино,4.0,Moscow region,2.0,40.0,22.4,9.9,1.0,3,Without renovation
7200000.0,Secondary, Красногорская,14.0,Moscow region,2.0,34.49,22.9,5.0,12.0,24,Without renovation
8800000.0,Secondary, Опалиха,7.0,Moscow region,2.0,54.0,32.0,8.0,9.0,9,Cosmetic
10599999.0,Secondary, Опалиха,4.0,Moscow region,2.0,48.6,28.0,10.7,7.0,8,European-style renovation
11000000.0,Secondary, Опалиха,5.0,Moscow region,2.0,50.0,10.0,10.8,6.0,8,European-style renovation
11000000.0,Secondary, Мякинино,15.0,Moscow region,2.0,43.0,19.6,5.0,3.0,19,Cosmetic
11000000.0,Secondary, Опалиха,14.0,Moscow region,2.0,50.0,27.4,10.8,2.0,4,Designer
11000000.0,Secondary, Пенягино,15.0,Moscow region,2.0,38.8,27.0,9.0,18.0,46,European-style renovation
11250000.0,Secondary, Павшино,13.0,Moscow region,2.0,55.0,30.0,10.0,8.0,25,European-style renovation
11600000.0,Secondary, Мякинино,15.0,Moscow region,2.0,50.0,28.0,9.8,18.0,23,Designer
12000000.0,Secondary, Красногорская,9.0,Moscow region,2.0,43.57,20.0,18.5,31.0,44,Designer
12800000.0,Secondary, Пенягино,16.0,Moscow region,2.0,40.0,22.4,9.9,9.0,45,Designer
13900000.0,Secondary, Пенягино,14.0,Moscow region,2.0,72.8,33.0,12.5,9.0,16,European-style renovation
13900000.0,Secondary, Павшино,19.0,Moscow region,2.0,43.6,23.0,15.2,14.0,44,European-style renovation
14000000.0,Secondary, Павшино,3.0,Moscow region,2.0,57.0,35.0,10.3,18.0,25,Designer
13990000.0,Secondary, Пенягино,11.0,Moscow region,2.0,64.0,36.0,10.0,14.0,20,European-style renovation
14300000.0,Secondary, Пенягино,9.0,Moscow region,2.0,61.0,40.0,12.0,16.0,17,European-style renovation
15500000.0,Secondary, Павшино,3.0,Moscow region,2.0,88.0,45.0,15.0,17.0,25,European-style renovation
15991000.0,Secondary, Волоколамская,15.0,Moscow region,2.0,60.0,35.0,10.0,23.0,29,European-style renovation
16400000.0,Secondary, Митино,6.0,Moscow region,2.0,72.2,36.1,14.7,10.0,18,European-style renovation
8200000.0,Secondary, Красногорская,15.0,Moscow region,2.0,36.94,24.0,5.0,19.0,23,Without renovation
9600000.0,Secondary, Опалиха,40.0,Moscow region,2.0,58.0,32.0,15.0,23.0,26,Cosmetic
11300000.0,Secondary, Павшино,13.0,Moscow region,2.0,57.0,33.0,10.0,2.0,5,Cosmetic
11500000.0,Secondary, Пенягино,14.0,Moscow region,2.0,38.8,25.0,9.0,18.0,46,European-style renovation
11500000.0,Secondary, Строгино,8.0,Moscow region,2.0,48.0,25.0,10.0,13.0,33,European-style renovation
11950000.0,Secondary, Пенягино,18.0,Moscow region,2.0,44.0,26.0,10.0,3.0,45,European-style renovation
12300000.0,Secondary, Мякинино,20.0,Moscow region,2.0,43.5,25.0,11.0,19.0,23,Designer
12400000.0,Secondary, Красногорская,6.0,Moscow region,2.0,57.9,31.4,11.4,12.0,17,Cosmetic
12400000.0,Secondary, Опалиха,11.0,Moscow region,2.0,49.6,26.0,9.0,3.0,7,Designer
12450000.0,Secondary, Пенягино,16.0,Moscow region,2.0,40.4,22.6,10.0,42.0,44,Designer
13300000.0,Secondary, Опалиха,12.0,Moscow region,2.0,73.2,27.8,20.8,8.0,9,European-style renovation
13760000.0,Secondary, Пенягино,16.0,Moscow region,2.0,43.0,23.9,10.2,20.0,45,Designer
13800000.0,Secondary, Аникеевка,7.0,Moscow region,2.0,80.0,41.0,14.0,13.0,24,European-style renovation
14500000.0,Secondary, Мякинино,26.0,Moscow region,2.0,60.0,36.0,14.0,14.0,25,Designer
14500000.0,Secondary, Пенягино,6.0,Moscow region,2.0,65.0,34.0,14.0,10.0,26,European-style renovation
15399000.0,Secondary, Мякинино,20.0,Moscow region,2.0,71.1,33.7,15.0,2.0,22,European-style renovation
15800000.0,Secondary, Мякинино,14.0,Moscow region,2.0,82.5,41.0,22.0,15.0,24,European-style renovation
16000000.0,Secondary, Мякинино,16.0,Moscow region,2.0,73.2,46.0,16.0,20.0,20,Cosmetic
5550000.0,Secondary, Опалиха,7.0,Moscow region,2.0,41.0,28.0,5.0,2.0,2,Cosmetic
6500000.0,Secondary, Опалиха,16.0,Moscow region,2.0,43.6,25.7,6.0,4.0,4,Cosmetic
6600000.0,Secondary, Опалиха,4.0,Moscow region,2.0,33.3,15.8,8.0,2.0,8,Cosmetic
6950000.0,Secondary, Красногорская,7.0,Moscow region,2.0,45.0,28.0,6.0,4.0,5,Cosmetic
7350000.0,Secondary, Павшино,11.0,Moscow region,2.0,41.6,6.0,10.1,4.0,5,Cosmetic
7500000.0,Secondary, Опалиха,12.0,Moscow region,2.0,42.6,29.0,10.2,8.0,12,Without renovation
7500000.0,Secondary, Павшино,20.0,Moscow region,2.0,47.0,20.0,10.0,11.0,25,Without renovation
7700000.0,Secondary, Красногорская,4.0,Moscow region,2.0,42.0,28.6,6.0,5.0,5,Cosmetic
7700000.0,Secondary, Митино,8.0,Moscow region,2.0,44.6,32.0,6.0,1.0,4,Cosmetic
7800000.0,Secondary, Опалиха,6.0,Moscow region,2.0,38.0,20.0,8.0,4.0,26,Designer
8000000.0,Secondary, Опалиха,6.0,Moscow region,2.0,50.0,27.4,10.8,8.0,9,Cosmetic
8000000.0,Secondary, Красногорская,13.0,Moscow region,2.0,45.0,6.0,10.4,4.0,5,European-style renovation
8300000.0,Secondary, Павшино,5.0,Moscow region,2.0,43.8,28.0,8.0,9.0,9,Cosmetic
8500000.0,Secondary, Красногорская,7.0,Moscow region,2.0,47.4,31.2,8.9,6.0,12,Without renovation
8600000.0,Secondary, Павшино,10.0,Moscow region,2.0,42.9,26.8,5.9,1.0,5,Cosmetic
